"번호","사업장명","소재지전체주소","도로명전체주소","인허가일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","건물용도명","건축연면적","기념품종류","기획여행보험시작일자","기획여행보험종료일자","무대면적","문화사업자구분명","문화체육업종명","발전시설유무","방송시설유무","보험기관명","보험시작일자","보험종료일자","시설규모","시설면적","안내소유무","영문상호명","의무실유무","좌석수","주변환경명","지역구분명","전화번호","위치정보(X)","위치정보(Y)","인허가번호","상세영업상태명"
"1","철광산 공연장","경상남도 김해시 어방동 993번지 ","경상남도 김해시 가야테마길 161 (어방동)","20150521","운영중","","","","","","621917","문화시설","","","","","","공연장","공연장","","","","","","","","","","","","기타","자연녹지지역","055-340-7900","372356.56587600000  ","196656.34012300000  ","CDFE1230002015000001","영업중"
"2","스카라극장","서울특별시 중구 초동 41번지 ","","19620709","운영중","","","","","","100300","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","","","CDFE1230001962000001","영업중"
"3","남산예술센터드라마센터","서울특별시 중구 예장동 8-19번지 ","서울특별시 중구 소파로 138 (예장동)","19620412","운영중","","","","","","100250","근린생활시설","","","","","","공연장","공연장","","","","","","","","","","","","기타","상업지역","778-0261","198994.92252700000  ","451076.51552000000  ","CDFE1230001962000002","영업중"
"4","코리아극장1관","서울특별시 중구 명동2가 50-13번지 ","서울특별시 중구 명동길 30  (명동2가)","19670301","운영중","","","","","","100810","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","198583.63022500000  ","451561.89113700000  ","CDFE1230001967000001","영업중"
"5","국립중앙극장 해오름극장","서울특별시 중구 장충동2가 산 14-67번지 ","서울특별시 중구 장충단로 59 (장충동2가)","19731017","운영중","","","","","","100857","문화시설","","","","","","공연장","공연장","","","","","","","","","","","","기타","상업지역","2280-4051","200043.44200200000  ","450497.40187300000  ","CDFE1230001973000001","영업중"
"6","국립중앙극장 달오름극장","서울특별시 중구 장충동2가 산 14-67번지 ","서울특별시 중구 장충단로 59 (장충동2가)","19731017","운영중","","","","","","100857","문화시설","","","","","","공연장","공연장","","","","","","","","","","","","기타","상업지역","2280-4051","200043.44200200000  ","450497.40187300000  ","CDFE1230001973000002","영업중"
"7","국립중앙극장 별오름극장","서울특별시 중구 장충동2가 산 14-67번지 ","서울특별시 중구 장충단로 59 (장충동2가)","19731017","운영중","","","","","","100857","","","","","","","공연장","공연장","","","","","","","","","","","","","","2280-4051","200043.44200200000  ","450497.40187300000  ","CDFE1230001973000003","영업중"
"8","뉴남대문극장","서울특별시 중구 남대문로4가 3-3번지 ","","19750819","운영중","","","","","","100094","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","197940.807443       ","450911.090993       ","CDFE1230001975000001","영업중"
"9","세실극장","서울특별시 중구 정동 3-7번지 ","서울특별시 중구 세종대로19길 16 (정동)","19801226","운영중","","","","","","100120","근린생활시설","","","","","","공연장","공연장","","","","","","","","","","","","기타","상업지역","742-7601","197929.79685000000  ","451925.22432200000  ","CDFE1230001980000001","영업중"
"10","음악춘추사","서울특별시 중구 신당동 346-463번지 ","서울특별시 중구 동호로8라길 5  (신당동)","19820719","운영중","","","","","","100827","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","201323.15968300000  ","450420.66448400000  ","CDFE1230001982000001","영업중"
"11","한국의집민속극장","서울특별시 중구 필동2가 80-2번지 ","서울특별시 중구 퇴계로36길 10 (필동2가)","19860901","운영중","","","","","","100272","문화시설","","","","","","공연장","공연장","","","","","","","","","","","","기타","상업지역","2266-7840","199513.92097600000  ","451188.19519700000  ","CDFE1230001986000001","영업중"
"12","신영아트","서울특별시 중구 충무로2가 12-3번지 ","서울특별시 중구 삼일대로 305 (충무로2가)","19890612","운영중","","","","","","100860","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","198993.70711600000  ","451385.61514800000  ","CDFE1230001989000001","영업중"
"13","준예술기획","서울특별시 중구 오장동 145-1번지 ","서울특별시 중구 동호로33길 15  (오장동)","19891203","운영중","","","","","","100310","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","200123.89070700000  ","451745.32004100000  ","CDFE1230001989000002","영업중"
"14","씨네마풍전 제1관","서울특별시 중구 인현동2가 73-1번지 (4층) ","서울특별시 중구 마른내로 71  (인현동2가,(4층))","19900119","운영중","","","","","","100282","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","199618.47048800000  ","451708.80516100000  ","CDFE1230001990000001","영업중"
"15","신명숙무용단","서울특별시 중구 만리동2가 200-18번지 ","","19900123","운영중","","","","","","100372","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","","","CDFE1230001990000002","영업중"
"16","안승천무용단","서울특별시 중구 인현동2가 73-1번지 차이나타운 ","서울특별시 중구 마른내로 71  (인현동2가,차이나타운)","19900228","운영중","","","","","","100282","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","199618.47048800000  ","451708.80516100000  ","CDFE1230001990000003","영업중"
"17","이벤트프로","서울특별시 중구 필동2가 54번지 복조빌딩 300호","서울특별시 중구 퇴계로42길 5,  300호 (필동2가,복조빌딩)","19900307","운영중","","","","","","100272","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","199720.52539300000  ","451326.23244000000  ","CDFE1230001990000004","영업중"
"18","대한관광서울로얄호텔","서울특별시 중구 명동1가 6번지 로얄호텔 ","","19900406","운영중","","","","","","100021","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","","","CDFE1230001990000005","영업중"
"19","극단민성","서울특별시 중구 신당동 217-92번지 ","서울특별시 중구 청계천로 318  (신당동)","19900406","운영중","","","","","","100887","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","201218.41787700000  ","452212.62142400000  ","CDFE1230001990000006","영업중"
"20","예술마당","서울특별시 중구 을지로3가 291-30번지 삼지빌딩 302호","서울특별시 중구 충무로 50-7,  302호 (을지로3가,삼지빌딩)","19900416","운영중","","","","","","100847","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","199406.79118100000  ","451788.73682900000  ","CDFE1230001990000007","영업중"
"21","한국장애자예술봉사단","서울특별시 중구 신당동 250-31번지 복천빌딩 303호","서울특별시 중구 퇴계로 379,  303호 (신당동,복천빌딩)","19900416","운영중","","","","","","100889","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","201201.21357000000  ","451747.95794700000  ","CDFE1230001990000008","영업중"
"22","한국보존견보존연합회","서울특별시 중구 명동2가 55-1번지 ","서울특별시 중구 명동길 20  (명동2가)","19900425","운영중","","","","","","100810","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","198533.06363900000  ","451557.76651300000  ","CDFE1230001990000009","영업중"
"23","사물놀이뿌리패","서울특별시 중구 오장동 148-15번지 ","","19900503","운영중","","","","","","100310","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","199991.512579       ","451380.751558       ","CDFE1230001990000010","영업중"
"24","나눔시각장애자선교회","서울특별시 중구 남대문로5가 757번지 ","","19900515","운영중","","","","","","100803","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","","","CDFE1230001990000011","영업중"
"25","국단충우","서울특별시 중구 충무로3가 51-2번지 해봉빌딩 503호","서울특별시 중구 충무로 7-1,  503호 (충무로3가,해봉빌딩)","19900524","운영중","","","","","","100013","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","199346.15414900000  ","451375.56166400000  ","CDFE1230001990000012","영업중"
"26","지호연예기획","서울특별시 중구 오장동 145-1번지 ","서울특별시 중구 동호로33길 15  (오장동)","19900530","운영중","","","","","","100310","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","200123.89070700000  ","451745.32004100000  ","CDFE1230001990000013","영업중"
"27","대성예술계획","서울특별시 중구 인현동1가 102-6번지 ","서울특별시 중구 마른내로 50  (인현동1가)","19900530","운영중","","","","","","100281","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","199402.97485800000  ","451633.94812400000  ","CDFE1230001990000014","영업중"
"28","동랑""춤""","서울특별시 중구 예장동 8-19번지 서울예전 ","서울특별시 중구 소파로 138  (예장동,서울예전)","19900607","운영중","","","","","","100250","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","198994.92252700000  ","451076.51552000000  ","CDFE1230001990000015","영업중"
"29","뮤지컬 협회","서울특별시 중구 명동1가 1번지 가톨릭회관 7층동 ","","19900607","운영중","","","","","","100021","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","","","CDFE1230001990000016","영업중"
"30","김용곤독창회","서울특별시 중구 신당동 370-46번지 ","서울특별시 중구 다산로 159  (신당동)","19900615","운영중","","","","","","100893","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","201075.42495200000  ","450940.19791700000  ","CDFE1230001990000017","영업중"
"31","홍웅기 무용단","서울특별시 중구 신당동 393-24번지 ","서울특별시 중구 청구로 125  (신당동)","19900615","운영중","","","","","","100832","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","200902.18725600000  ","451483.80982700000  ","CDFE1230001990000018","영업중"
"32","한국국제문화협회","서울특별시 중구 남대문로5가 526번지 대우재단B ","서울특별시 중구 퇴계로 18  (남대문로5가,대우재단B)","19900618","운영중","","","","","","100802","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","197804.90408700000  ","450781.97518200000  ","CDFE1230001990000019","영업중"
"33","극단신협","서울특별시 중구 오장동 90-1번지 ","서울특별시 중구 마른내로 112  (오장동)","19900704","운영중","","","","","","100310","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","200030.40912000000  ","451645.27116800000  ","CDFE1230001990000020","영업중"
"34","호국예술공연단중앙회","서울특별시 중구 흥인동 114번지 ","서울특별시 중구 퇴계로 397  (흥인동)","19900820","운영중","","","","","","100880","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","201398.64278000000  ","451775.05550100000  ","CDFE1230001990000021","영업중"
"35","9월당기획","서울특별시 중구 필동3가 16-1번지 ","","19900828","운영중","","","","","","100273","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","","","CDFE1230001990000022","영업중"
"36","뉴웨이브악단","서울특별시 중구 충무로2가 61-3번지 ","","19900908","운영중","","","","","","100861","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","198866.364917       ","451021.050961       ","CDFE1230001990000023","영업중"
"37","이남진","서울특별시 중구 신당동 370-46번지 청구빌딩 301호","서울특별시 중구 다산로 159,  301호 (신당동,청구빌딩)","19900914","운영중","","","","","","100893","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","201075.42495200000  ","450940.19791700000  ","CDFE1230001990000024","영업중"
"38","김플랜","서울특별시 중구 남산동1가 18-1번지 ","서울특별시 중구 소공로6길 24  (남산동1가)","19900919","운영중","","","","","","100041","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","198619.54656500000  ","450990.34031100000  ","CDFE1230001990000025","영업중"
"39","에클레시아남성합창단","서울특별시 중구 주교동 287-1번지 ","","19900927","운영중","","","","","","100330","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","199916.735641       ","451762.295719       ","CDFE1230001990000026","영업중"
"40","우리극단마당","서울특별시 중구 정동 3-7번지 ","서울특별시 중구 세종대로19길 16  (정동)","19900927","운영중","","","","","","100120","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","197929.79685000000  ","451925.22432200000  ","CDFE1230001990000027","영업중"
"41","한국무용교육회","서울특별시 중구 묵정동 18번지 대학문화원 301호","","19900928","운영중","","","","","","100380","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","","","CDFE1230001990000028","영업중"
"42","한국쇼팽협회","서울특별시 중구 신당동 346-464번지 ","서울특별시 중구 동호로8라길 3-3  (신당동)","19901025","운영중","","","","","","100827","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","201311.62506900000  ","450442.02122000000  ","CDFE1230001990000029","영업중"
"43","이금신월드컵가무단","서울특별시 중구 다동 52번지 ","서울특별시 중구 다동길 23  (다동)","19901026","운영중","","","","","","100180","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","198288.80022600000  ","452028.67066500000  ","CDFE1230001990000030","영업중"
"44","최성봉유로피아가무단","서울특별시 중구 다동 170-1번지 ","서울특별시 중구 다동길 16  (다동)","19901026","운영중","","","","","","100180","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","198245.40531600000  ","452016.03496200000  ","CDFE1230001990000031","영업중"
"45","서울구락가무단","서울특별시 중구 충무로2가 60-3번지 ","서울특별시 중구 삼일대로 299  (충무로2가)","19901112","운영중","","","","","","100861","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","198981.43001700000  ","451337.72927800000  ","CDFE1230001990000032","영업중"
"46","예음문화재단","서울특별시 중구 충정로1가 58-1번지 ","","19901112","운영중","","","","","","100151","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","197183.918975       ","451720.396597       ","CDFE1230001990000033","영업중"
"47","월드비젼","서울특별시 중구 충무로3가 24-11번지 ","서울특별시 중구 수표로6길 1  (충무로3가)","19901112","운영중","","","","","","100013","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","199165.53409100000  ","451491.40363300000  ","CDFE1230001990000034","영업중"
"48","정주희악단","서울특별시 중구 신당동 57번지 현대(아) 1동 503호","","19901120","운영중","","","","","","100816","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","","","CDFE1230001990000035","영업중"
"49","영락교회갈보리성가대","서울특별시 중구 저동2가 69번지 ","서울특별시 중구 수표로 33  (저동2가)","19901130","운영중","","","","","","100032","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","199062.63814200000  ","451660.49658200000  ","CDFE1230001990000036","영업중"
"50","서울장로성가단","서울특별시 중구 정동 34번지 ","","19901213","운영중","","","","","","100120","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","","","CDFE1230001990000037","영업중"
"51","우진가무연주","서울특별시 중구 신당동 302-4번지 ","","19901213","운영중","","","","","","100450","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","201237.097981       ","451217.389048       ","CDFE1230001990000038","영업중"
"52","(주)롯데호텔","서울특별시 중구 소공동 1번지 ","","19901219","운영중","","","","","","100070","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","198259.653577       ","451392.198219       ","CDFE1230001990000039","영업중"
"53","다빈치가무단","서울특별시 중구 북창동 104번지 ","서울특별시 중구 남대문로1길 26-10  (북창동)","19901219","운영중","","","","","","100080","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","198055.96569200000  ","451395.19987200000  ","CDFE1230001990000040","영업중"
"54","이흥열가무단","서울특별시 중구 신당동 333-25번지 ","서울특별시 중구 다산로20길 54  (신당동)","19901219","운영중","","","","","","100826","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","201321.25304100000  ","450757.53508700000  ","CDFE1230001990000041","영업중"
"55","한국바젤요들클럽","서울특별시 중구 수표동 27-1번지 청소년회관 301호","서울특별시 중구 을지로11길 15,  301호 (수표동,청소년회관)","19901220","운영중","","","","","","100230","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","199170.35329500000  ","451942.92668100000  ","CDFE1230001990000042","영업중"
"56","한국관악협회","서울특별시 중구 흥인동 141번지 ","서울특별시 중구 퇴계로73길 10  (흥인동)","19910226","운영중","","","","","","100880","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","201266.24666900000  ","451800.31388100000  ","CDFE1230001991000001","영업중"
"57","스타월드","서울특별시 중구 명동2가 53-1번지 ","서울특별시 중구 명동4길 25  (명동2가)","19910313","운영중","","","","","","100810","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","198596.09103800000  ","451436.52005500000  ","CDFE1230001991000002","영업중"
"58","영그리","서울특별시 중구 신당동 234-346번지 ","","19910401","운영중","","","","","","100888","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","","","CDFE1230001991000003","영업중"
"59","세기흥행","서울특별시 중구 필동1가 39-1번지 국제빌딩 407호","서울특별시 중구 퇴계로 187,  407호 (필동1가,국제빌딩)","19910508","운영중","","","","","","100866","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","199342.03727300000  ","451309.03441400000  ","CDFE1230001991000004","영업중"
"60","극동극장1관","서울특별시 중구 충무로4가 131-6번지 ","서울특별시 중구 퇴계로 211-5  (충무로4가)","19910509","운영중","","","","","","100862","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","199557.64882000000  ","451378.13150100000  ","CDFE1230001991000005","영업중"
"61","최종순가무단","서울특별시 중구 을지로5가 19-29번지 ","서울특별시 중구 동호로 369  (을지로5가)","19910522","운영중","","","","","","100195","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","200165.20805900000  ","451984.42587600000  ","CDFE1230001991000006","영업중"
"62","김한수가무단","서울특별시 중구 만리동2가 199-128번지 ","","19910530","운영중","","","","","","100372","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","","","CDFE1230001991000007","영업중"
"63","금수장무용단","서울특별시 중구 장충동2가 186-54번지 ","서울특별시 중구 동호로 287  (장충동2가)","19910604","운영중","","","","","","100855","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","200221.17781500000  ","451227.64424400000  ","CDFE1230001991000008","영업중"
"64","다물놀이 문화기획","서울특별시 중구 신당동 369-51번지 덕수빌딩 505호","서울특별시 중구 다산로 130-2,  505호 (신당동,덕수빌딩)","19910704","운영중","","","","","","100841","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","201009.17458900000  ","450636.37736400000  ","CDFE1230001991000009","영업중"
"65","무겐나이트","서울특별시 중구 남산동2가 31-1번지 ","서울특별시 중구 퇴계로20길 2  (남산동2가)","19910727","운영중","","","","","","100042","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","198713.10712900000  ","451131.99476600000  ","CDFE1230001991000010","영업중"
"66","시네마라인","서울특별시 중구 황학동 682번지 ","","19910910","운영중","","","","","","100869","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","","","CDFE1230001991000011","영업중"
"67","육하원칙","서울특별시 중구 광희동1가 187-9번지 ","서울특별시 중구 을지로44길 21  (광희동1가)","19911021","운영중","","","","","","100411","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","200581.56674900000  ","451727.83628700000  ","CDFE1230001991000012","영업중"
"68","극단크레파스","서울특별시 중구 신당동 155-1번지 ","서울특별시 중구 다산로42길 80  (신당동)","19911028","운영중","","","","","","100819","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","201816.95111700000  ","451569.26545200000  ","CDFE1230001991000013","영업중"
"69","예술세계","서울특별시 중구 정동 11-3번지 ","서울특별시 중구 정동길 35  (정동)","19911125","운영중","","","","","","100120","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","197558.42552200000  ","451836.39176600000  ","CDFE1230001991000014","영업중"
"70","전국주부교실중앙회","서울특별시 중구 충무로5가 19-3번지 ","서울특별시 중구 퇴계로45길 7  (충무로5가)","19911125","운영중","","","","","","100015","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","199915.44201800000  ","451475.81624100000  ","CDFE1230001991000015","영업중"
"71","다이아몬드연주단","서울특별시 중구 광희동1가 142번지 ","서울특별시 중구 을지로44길 10  (광희동1가)","19911202","운영중","","","","","","100411","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","200567.95944100000  ","451800.25466100000  ","CDFE1230001991000016","영업중"
"72","사랑실천문화예술협회","서울특별시 중구 회현동2가 0번지 서울빌딩 319호","","19911216","운영중","","","","","","100052","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","","","CDFE1230001991000017","영업중"
"73","세종예술기획","서울특별시 중구 오장동 90-6번지 ","","19911216","운영중","","","","","","100310","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","199857.253946       ","451307.781736       ","CDFE1230001991000018","영업중"
"74","마당풍물놀이","서울특별시 중구 신당동 250-28번지 ","","19911221","운영중","","","","","","100889","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","201032.405789       ","451430.109139       ","CDFE1230001991000019","영업중"
"75","고려영화사","서울특별시 중구 충무로4가 148-1번지 ","서울특별시 중구 퇴계로37길 14  (충무로4가)","19920131","운영중","","","","","","100862","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","199470.04264900000  ","451378.05900400000  ","CDFE1230001992000001","영업중"
"76","카톨릭사회복지회","서울특별시 중구 명동2가 1-8번지 ","","19920131","운영중","","","","","","100809","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","","","CDFE1230001992000002","영업중"
"77","중부스텐드","서울특별시 중구 오장동 145-1번지 ","서울특별시 중구 동호로33길 15  (오장동)","19920228","운영중","","","","","","100310","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","200123.89070700000  ","451745.32004100000  ","CDFE1230001992000003","영업중"
"78","에코예술기획","서울특별시 중구 남산동3가 34-5번지 ","서울특별시 중구 소파로 131  (남산동3가)","19920228","운영중","","","","","","100043","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","198845.14585600000  ","451094.21552700000  ","CDFE1230001992000004","영업중"
"79","본기획","서울특별시 중구 장충동1가 48-24번지 ","서울특별시 중구 장충단로4길 7  (장충동1가)","19920307","운영중","","","","","","100391","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","200599.87610100000  ","451327.43698500000  ","CDFE1230001992000005","영업중"
"80","한국무지카","서울특별시 중구 신당동 292-43번지 ","서울특별시 중구 다산로 222  (신당동)","19920321","운영중","","","","","","100824","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","201377.53900700000  ","451480.08191100000  ","CDFE1230001992000006","영업중"
"81","롯데쇼핑(주)","서울특별시 중구 소공동 1번지 ","","19920427","운영중","","","","","","100070","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","198259.653577       ","451392.198219       ","CDFE1230001992000007","영업중"
"82","(주)거인이벤트","서울특별시 중구 장충동1가 119번지 일산빌딩 ","서울특별시 중구 동호로 238  (장충동1가,일산빌딩)","19920516","운영중","","","","","","100391","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","200662.62581800000  ","451031.50364200000  ","CDFE1230001992000008","영업중"
"83","성동","서울특별시 중구 황학동 945번지 ","","19920516","운영중","","","","","","100870","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","","","CDFE1230001992000009","영업중"
"84","쁘렝땅 기획","서울특별시 중구 장교동 1번지 ","","19920516","운영중","","","","","","100220","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","198744.433229       ","451677.065126       ","CDFE1230001992000010","영업중"
"85","유연예기획가무단","서울특별시 중구 신당동 347-197번지 ","","19920528","운영중","","","","","","100826","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","","","CDFE1230001992000011","영업중"
"86","가리온현대무용단","서울특별시 중구 예장동 8-3번지 ","서울특별시 중구 소파로2길 10  (예장동)","19920627","운영중","","","","","","100250","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","198973.86539700000  ","450925.15768700000  ","CDFE1230001992000012","영업중"
"87","보컬그룹소리나","서울특별시 중구 인현동2가 73-1번지 ","서울특별시 중구 마른내로 71  (인현동2가)","19920627","운영중","","","","","","100282","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","199618.47048800000  ","451708.80516100000  ","CDFE1230001992000013","영업중"
"88","아트팩키지","서울특별시 중구 예장동 2-19번지 종화빌딩 115호","서울특별시 중구 삼일대로2길 50,  115호 (예장동,종화빌딩)","19920708","운영중","","","","","","100250","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","199216.06061200000  ","451173.32220600000  ","CDFE1230001992000014","영업중"
"89","한국문예교류협악회","서울특별시 중구 정동 1-54번지 ","서울특별시 중구 덕수궁길 116-1  (정동)","19920720","운영중","","","","","","100120","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","197723.81081000000  ","452043.03509800000  ","CDFE1230001992000015","영업중"
"90","TMC","서울특별시 중구 저동2가 47-8번지 ","","19920727","운영중","","","","","","100032","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","","","CDFE1230001992000016","영업중"
"91","성니콜라소년합창단","서울특별시 중구 정동 3번지 ","","19920731","운영중","","","","","","100120","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","197802.206298       ","451649.78285        ","CDFE1230001992000017","영업중"
"92","서태지와아이들라이브","서울특별시 중구 정동 22번지 MBC2층 ","서울특별시 중구 정동길 3  (정동,MBC2층)","19920812","운영중","","","","","","100120","","","","","","","공연장","공연장","","","","","","0","0","","","","","","","","197370.22152900000  ","452070.93626500000  ","CDFE1230001992000018","영업중"
